gene_name	length
IFT80	7175
SIRT2	6224
ERLEC1	2592
PPP2R5B	3376
PYGM	4981
PAGE1	665
PITX1	3511
TRPC7	3193
MAST4	14675
ADGRF5	6650
SDK2	11607
ADAM7	4483
NUP133	6080
NUCKS1	6546
VPS35	9733
DNAJA2	5065
BCL3	3242
KCNAB2	9534
ABCC9	11616
GAL	1300
CLEC2D	6957
FUNDC1	1399
MAOB	2891
RORA	17040
DRD4	1477
TGFBR3	8705
PLA2G10	1116
HES2	5407
ATP1B3	2584
NEDD4	9122
PIGB	4542
MAPK6	6388
GNB5	13302
RAB27A	5605
HDHD5	4936
UFD1	8736
LRP6	10337
GUCY2C	4177
SCT	366
PHRF1	5769
ELP1	6048
NUCB2	9025
PFN2	3709
PTPN3	9995
SPTB	14796
DAPP1	4548
FGF10	3011
SLC44A1	12172
TMEM260	8077
SMG6	10554
EXOC5	12575
CLTCL1	10049
FGF22	2778
FSTL3	3067
DGCR2	5605
RNF126	3496
MNT	8728
ZXDC	7357
JMJD6	5969
POLB	4106
ST6GALNAC1	3448
WIPI1	3402
FRMPD1	5867
GBA2	4803
NDST1	9529
ASNS	4455
AP3M2	6276
CNGB1	7298
ST6GALNAC2	3098
CHAT	3750
PABPC1	4752
TESK2	3322
CFAP20	2375
CSNK2A2	6905
PTPN21	7396
EIF2B3	3411
CAMK2A	6150
TCOF1	11439
CDC42	3598
OSBPL3	8100
EPHA8	5358
SLC12A3	6180
RAD18	6983
ATP2B1	9493
TRPM5	3962
NCK2	2990
MAP4K4	11961
MGAT4A	9630
RPL31	5791
WDR1	7827
SNX13	16418
MS4A12	1839
ARHGAP10	10759
RPS6KA2	8243
ING3	5214
VASH1	6502
LMCD1	9130
BUD23	7944
SEL1L	9559
TRIP13	3560
ATP6AP1	4884
TCF3	6080
TRIB2	4588
DAZAP1	9201
MBD3	7845
PRLH	264
HLTF	6024
FAM50A	2567
FAM3A	5098
CPSF1	6072
MYO3B	8236
CYBRD1	5176
CDH19	6864
PDCD2	6476
SLC6A15	8781
RDH11	5518
PRKACA	6144
ADGRL1	8487
SPP2	1265
ACTN1	10626
ZFYVE26	15706
RPS6KA6	8502
EPN2	8517
PTPN18	5774
LIMS2	8487
ASIC4	5250
SPEG	17910
LNX1	5725
ALDH3A2	6457
TFRC	7887
SREBF1	8030
TRPC5	5839
AFF4	11297
UBE2D1	3486
MPP5	8743
RHOBTB1	4841
SMC1A	10484
HSD17B10	1115
MARK2	6154
HMMR	3936
CHFR	17127
TRHDE	11950
P4HA2	8502
FCGR2B	6651
NFATC3	8806
TRNT1	5518
ACADVL	4865
STK10	9083
FBXW11	5577
ACAP1	7421
CRMP1	5823
EVC	7148
DERL2	6386
SIDT1	8060
NDE1	5512
MRVI1	7700
TMEM38A	3005
AP1M1	14371
PVR	3519
XRCC1	3459
SCARB1	7741
CYP2W1	2773
MCM2	4902
MOV10L1	6872
PANX2	3102
SELENOO	2363
TP63	7454
ALPK1	12325
LLGL2	7909
PDE8A	7886
CLCN4	6789
NLE1	5463
SDHA	8383
SMARCE1	18680
FNDC8	1388
GSDMB	5905
KDM5A	12091
ADAM11	4770
PPP2R3A	7837
FERMT2	8510
ABCB11	7715
DHRS9	3750
CD5L	2456
PTGS2	5269
IGF2BP2	4735
MAP3K13	12623
ST6GAL1	9151
TBX21	2614
VDAC1P1	848
FRY	18849
PICALM	5833
NSF	5005
GLI2	7341
CLASP1	11052
MRPS34	1097
NOTCH3	9394
CLNS1A	4592
PPP2R2C	9198
TEAD2	2980
EED	7016
CDHR2	5348
SNCB	2006
TSG101	3839
NCBP3	14718
ATP2A3	6893
CA12	7313
MGLL	11849
NTN4	4166
BCS1L	3379
NUAK1	7008
DPP8	10211
SLC24A1	9084
ZNF532	11951
SCARF1	4961
LMAN1	6767
HACD3	7097
IPCEF1	8474
ZZEF1	15878
NOX3	2042
ENO1	5276
SLC12A1	12839
MYDGF	1678
ANO8	4979
TUBE1	6973
ARHGEF10L	7817
TXK	3472
WSCD2	6557
KCNQ2	12775
TACR2	2871
ACTR6	3813
TIPIN	2755
SRI	4237
EIF4G3	9596
NUP37	3492
SEMA3A	9371
GTSE1	4242
SEMA3C	6268
TTC38	3578
ACAT1	5584
GRAMD4	4885
CELSR1	12806
WNT8B	2112
ZNF638	12474
SLC25A40	5081
TIMM21	5208
ADD2	12673
FGF4	3233
RASAL2	16044
VPS9D1	3428
ZNF37A	13190
MARK3	8891
SLC25A3	8896
FNDC3B	13270
FOSL2	7157
CACNG5	1311
CACNG4	3380
FRYL	18161
TMEM131	12985
FSCN1	3692
ACTB	3519
MOCOS	6281
PLD1	12859
ATP12A	4442
WDR62	9812
DLG1	11001
RAB7A	2717
BCAP29	8409
SEC31B	7938
SART3	7271
ARHGAP15	6226
TUBA3D	1598
PAX2	6243
EXOSC7	4442
KIFAP3	4978
MKRN2	2848
MCM6	4118
REXO2	3699
RBM7	7885
RBMS2	8808
BAZ2A	10918
PTPN23	5981
MLH1	3532
UNG	2567
FMO4	2517
KLHL20	4254
RGS11	4798
SLC46A1	7838
PLXNA2	13781
SPAG5	5472
ANKRD13A	7350
TPD52	8197
ACACB	14505
TRAF4	4596
PAG1	11023
GPATCH1	4488
ICAM3	2950
NT5C2	5156
MCAM	7422
GPC4	4960
MBNL3	12199
CAMSAP3	4845
RAP1GAP	5755
XAB2	4673
ARHGEF1	8636
STXBP2	6036
MAP2K7	5145
NMRK2	1141
DGKD	9771
CTTNBP2	7035
ACTL6B	2389
RARB	3697
TOP2B	6044
TM9SF3	7535
NFKB2	4484
UBE2T	1652
PPP1R12B	21069
DNAJC10	21835
GTF3C1	11562
IL4R	5894
USP33	6918
PAK3	10312
CAPN6	3568
DCX	10203
SNRPA	2361
SPAG6	3887
EXOSC5	1488
DYNC1I2	4695
APBB1IP	3981
LRCH4	6838
FAM76B	6042
SIRT6	2787
TYR	3016
POLD3	5508
ACTN2	5530
CAPZB	3238
GPR137B	2309
NAALAD2	7254
JADE1	9129
SLC25A43	3115
UBE2A	5276
FGFR1	13842
FKBP6	4743
SMC1B	4253
FBLN1	7285
ITGA8	7528
CST7	930
MAP2	11559
PIAS2	17527
AMPH	5636
ARAF	3535
MCCC1	4321
LAMP3	3816
FAP	7003
NEBL	13654
ACER3	8442
UBE2K	5245
PIK3C3	15198
N4BP2	9835
TIGAR	4017
TULP3	3181
SYNJ2	12493
ADCY2	17538
PPP2R5C	14289
PMS2P1	1228
RBFOX1	10121
GNB1	6417
HOXA9	3029
EDN1	2033
MLLT10	6945
ZCWPW1	3318
ADCYAP1R1	6832
FGF20	1688
P2RY10	1803
ITM2A	2051
NRDC	6773
VDAC3	3141
PCM1	14445
TNRC6C	11111
CBFA2T2	9457
BRINP1	3905
ITCH	6664
PKD2L2	4653
TP53INP2	4228
SDF4	4709
MYH7B	7931
BPIFB2	1898
TP73	6763
TOLLIP	5983
UBE2D4	4713
CLUL1	3846
RUNX1T1	13535
CDH17	3901
THOC1	8102
FKBP7	3080
OSBPL6	11486
SLC1A3	6265
XRCC5	5463
LXN	1504
SP140	5582
MKNK1	8070
TNS1	16281
REXO1	5561
SAR1A	6914
CDC14A	6511
RAPGEF3	12078
CEACAM1	5524
SENP1	6342
DUSP13	2351
CIC	9494
LIPE	5206
FDFT1	5202
PAFAH1B3	1419
OPHN1	8224
AFM	2244
KIF22	4312
SCGN	1482
CARMIL1	6799
PGM1	4212
DDX1	3833
DNM2	13443
EPB41L2	10320
RIMS1	12788
MOXD1	5293
STX7	16387
RABL2B	5870
KEAP1	3761
DDX43	2807
PTPRH	4344
DCT	7543
SLC35C2	7708
CRYBG3	10929
EPHA6	6291
SCTR	3426
RFX3	11169
RIF1	18166
RAB21	16036
SLC4A4	9622
SMARCA2	18595
RDH8	2001
SESN1	5121
MID2	3097
PIH1D3	1931
COL5A3	6750
SRCAP	13674
PUM3	2707
CPB2	1715
CHRNA3	4765
KCNN2	6489
CNOT4	6999
PSEN1	9947
CPOX	3232
CLDND1	5217
MOK	10996
HSP90AA1	5248
RBL1	5954
DLGAP4	8789
IGSF9B	5753
CFHR2	2336
CROCCP3	6813
NDC80	3600
AP4E1	7359
RSBN1	6819
MAGI3	8180
CXCL2	1500
AFP	3259
COL4A4	10076
TCF7	10063
OSTM1	5325
CDH7	14532
IMPG2	8337
PCNP	3102
EXD2	6263
ARG2	2418
MEF2C	11755
PTPRC	9168
CACNA1S	6168
PKP1	6211
UBA5	6827
STK17B	6580
CDC14B	10462
ZNF510	5921
LRP2	16260
ZNF506	8414
JMJD4	4315
DUSP12	1762
AACS	16094
DELE1	6047
SLC13A1	4415
CADPS2	6351
PCDHB4	3825
PCDHA6	6133
PCDHGA2	6724
HSPB11	3236
PHLPP1	9142
ATP8B1	7028
IL12RB2	4423
SMARCD3	5198
WDR70	7039
FYB1	8850
MPP4	4924
STRADB	3242
BZW1	8085
PGR	15404
C1QTNF3	3576
ME2	16243
C5orf22	4172
CCNT2	9081
FAM135A	10589
COL19A1	8511
EPB41L3	12203
COBLL1	17178
DLG3	7844
KCNK2	3910
SERTAD4	5467
TRAF5	9022
MRPL22	5267
GEMIN5	5637
OPRK1	5738
